car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
AYLA X 1.0,Daihatsu,2017,93.445,Jakarta Pusat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,93000000,1890000
CORTEZ T LUX 1.5,Wuling,2019,72.65,Jakarta Timur,Automatic,odd plate,0,1,0,1,0,0,0,0,0,0,0,178000000,3630000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,98.742,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000
IGNIS GL 1.2,Suzuki,2019,26.233,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,119000000,2420000
BALENO HATCHBACK 1.4,Suzuki,2017,24.032,Jakarta Selatan,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,152000000,3100000
RUSH S TRD 1.5,Toyota,2018,67.595,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000
TERIOS X DLX 1.5,Daihatsu,2019,70.234,Jakarta Timur,Manual,odd plate,1,0,0,0,0,0,0,0,0,0,0,192000000,3910000
HR-V E 1.5,Honda,2016,65.219,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,210000000,4280000
ROCKY R 1.0,Daihatsu,2021,22.709,Jakarta Timur,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,218000000,4440000
SIENTA Q 1.5,Toyota,2018,64.808,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,1,0,199000000,4050000
IGNIS GX 1.2,Suzuki,2017,103.106,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,129000000,2630000
HR-V E PLUS 1.5,Honda,2018,27.308,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,258000000,5260000
