car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly),image_url
BALENO HATCHBACK 1.4,Suzuki,2019,72.458,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,176000000,3590000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSROgvN-4YR29pUx-iIQ4Z54iQbSTIucQuRqw&s
XPANDER ULTIMATE 1.5,Mitsubishi,2018,57.815,Jakarta Barat,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
AYLA X 1.0,Daihatsu,2018,28.113,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000,https://imgcdn.oto.com/large/gallery/exterior/7/1731/daihatsu-ayla-front-angle-low-view-269225.jpg
ALMAZ LT LUX 1.5,Wuling,2019,41.998,Jakarta Barat,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,203000000,4139999,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/MTA-3270912/wuling_wuling-almaz-1-5-l-t-lux-mobil_full47.jpg
TERIOS X 1.5,Daihatsu,2015,115.866,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,148000000,3020000,https://imgx.gridoto.com/crop/16x0:2075x1250/700x465/photo/gridoto/2017/11/29/783534091.jpg
AYLA X ELEGANT 1.0,Daihatsu,2017,34.014,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,96000000,1960000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTS12HLlVLik9tnM0X92pJ4dhIys1ScAENlsQ&s
KIJANG INNOVA G 2.0,Toyota,2022,25.226,Jakarta Utara,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,360000000,7330000,https://images.autofun.co.id/file1/c54b6a27cfcd43a59051c880cab6dd6a_1125x630.jpg
CORTEZ L T LUX 1.5,Wuling,2021,32.32,Jakarta Utara,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,206000000,4200000,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//94/MTA-40078631/wuling_wuling_full05.jpg
PAJERO SPORT DAKAR 4X2 2.4,Mitsubishi,2016,95.178,Jakarta Timur,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,390000000,7950000,https://images.tokopedia.net/img/cache/700/VqbcmM/2023/2/23/1b80cb97-ec5e-4d52-85ae-b4072313fc6c.png
XL7 ALPHA 1.5,Suzuki,2020,51.694,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHjJC0fUu4vTlGZYjAN6dfXdNkiv2PSor78g&s
AYLA X 1.0,Daihatsu,2020,56.96,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000,https://images.ibid.astra.co.id/ibid/acvpro/158365/img/98740e684e7f023de538eaa224d3740a.png
YARIS G 1.5,Toyota,2019,65.003,Jakarta Barat,Automatic,even plate,0,0,0,0,0,1,0,1,0,0,0,191000000,3890000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlVXoBTpnkecLnM2FXhy1-o5IN4kxR8Bq0og&s
HR-V E 1.5,Honda,2018,41.32,Jakarta Utara,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,232000000,4730000,"https://imgx.gridoto.com/crop/0x0:5447x3598/700x465/filters:watermark(file/2017/gridoto/img/watermark.png,5,5,60)/photo/2018/12/20/49296503.jpg"
RUSH S GR SPORT 1.5,Toyota,2021,58.598,Jakarta Selatan,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,239000000,4870000,https://www.toyota.astra.co.id//sites/default/files/2024-04/1%20White.png
AYLA R 1.2,Daihatsu,2019,57.138,Jakarta Barat,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,115000000,2340000,https://images.autofun.co.id/file1/9238111d4078455f89bdceac92cb93a7_1125x630.jpg
